Etablissement;Année;Ville;Taux Brut de Réussite série L;Taux Brut de Réussite série ES;Taux Brut de Réussite série S;Académie
LYCEE BOISJOLY POTIER (GENERAL ET TECHNO.);2014;LE TAMPON;88;79;97;LA REUNION
LYCEE MAHATMA GANDHI;2014;ST ANDRE;91;93;100;LA REUNION
LYCEE DE VINCENDO (GENERAL ET TECHNO.);2014;ST JOSEPH;86;94;94;LA REUNION
LYCEE SAINTE JEANNE D'ARC (GENERAL ET TECHNO.);2014;AULNOYE AYMERIES;;64;76;LILLE
LYCEE DEFOREST DE LEWARDE;2014;DOUAI;;;;LILLE
LYCEE ACTIVE BILINGUE JEANNINE MANUE;2014;MARCQ EN BAROEUL;100;100;95;LILLE
LYCEE HELENE BOUCHER;2014;SOMAIN;;;;LILLE
LYCEE CONDORCET;2014;LENS;71;88;79;LILLE
LYCEE HENRI DARRAS;2014;LIEVIN;79;91;85;LILLE
LYCEE SAINT JOSEPH;2014;ST MARTIN BOULOGNE;;;100;LILLE
LYCEE SAINT PAUL;2014;ROANNE;90;77;94;LYON
LYCEE GERMAINE TILLION;2014;SAIN BEL;96;94;97;LYON
LYCEE FRANCOIS MANSART (GENERAL ET TECHNO.);2014;THIZY;100;100;92;LYON
LYCEE NOTRE DAME;2014;VILLEFRANCHE/SAONE;;;;LYON
LYCEE GEORGES CLEMENCEAU;2014;MONTPELLIER;86;83;86;MONTPELLIER
LYCEE JEAN MONNET;2014;MONTPELLIER;89;86;86;MONTPELLIER
LYCEE SAINT-JOSEPH (GENERAL ET TECHNO.);2014;SETE;100;100;100;MONTPELLIER
LYCEE GEORGES DE LA TOUR;2014;NANCY;100;75;100;NANCY-METZ
LYCEE JEAN-AUGUSTE MARGUERITTE (GENERAL ET TECHNO.);2014;VERDUN;97;93;94;NANCY-METZ
LYCEE GALILEE;2014;GUERANDE;95;100;93;NANTES
LYCEE CARCOUET;2014;NANTES;71;91;85;NANTES
LYCEE PAYS DE RETZ;2014;PORNIC;100;87;96;NANTES
LYCEE GABRIEL DESHAYES;2014;ST GILDAS DES BOIS;100;100;100;NANTES
LYCEE DUPLESSIS MORNAY;2014;SAUMUR;93;97;93;NANTES
LYCEE FRANCOIS TRUFFAUT;2014;CHALLANS;94;97;97;NANTES
LYCEE EDOUARD BRANLY;2014;LA ROCHE SUR YON;;;;NANTES
LYCEE MAUPERTUIS;2014;ST MALO;;;84;RENNES
LYCEE BENJAMIN FRANKLIN;2014;AURAY;100;86;98;RENNES
LYCEE LA MENNAIS;2014;PLOERMEL;100;100;100;RENNES
LYCEE CHARLES DE GAULLE;2014;VANNES;91;95;98;RENNES
LYCEE FENELON;2014;ELBEUF;100;100;98;ROUEN
LYCEE ANGUIER (GENERAL ET TECHNO.);2014;EU;88;85;93;ROUEN
LYCEE CLAUDE MONET;2014;LE HAVRE;94;88;99;ROUEN
LYCEE JEANNE D'ARC (GENERAL ET TECHNO.);2014;STE ADRESSE;;;100;ROUEN
ORATOIRE SAINTE-MARIE;2014;AUCH;93;100;98;TOULOUSE
LYCEE JEAN DUPUY;2014;TARBES;100;100;93;TOULOUSE
LYCEE JEANNE D'ARC (GENERAL ET TECHNO.);2014;FIGEAC;80;95;100;TOULOUSE
LYCEE EDMOND MICHELET;2014;ARPAJON;86;79;73;VERSAILLES
LYCEE NOTRE DAME DE SION (GENERAL ET TECHNO.);2014;EVRY;100;100;100;VERSAILLES
LYCEE PAUL RICOEUR;2014;LOUVRES;100;70;100;VERSAILLES
LYCEE CHARLES DE GAULLE;2014;POISSY;;96;98;VERSAILLES
LYCEE CHEVREUL BLANCARDE;2015;MARSEILLE 04;100;97;99;AIX-MARSEILLE
LYCEE REMPART (RUE DU);2015;MARSEILLE 07;;67;82;AIX-MARSEILLE
LYCEE MARIE GASQUET;2015;MARSEILLE 12;;;;AIX-MARSEILLE
LYCEE LACORDAIRE;2015;MARSEILLE 13;100;100;100;AIX-MARSEILLE
LYCEE SEVIGNE;2015;MARSEILLE 13;100;96;100;AIX-MARSEILLE
LYCEE YAVNE;2015;MARSEILLE 13;;94;100;AIX-MARSEILLE
LYCEE SAINT EXUPERY;2015;MARSEILLE 15;65;55;58;AIX-MARSEILLE
LYCEE JULES FERRY;2014;CANNES;;;100;NICE
LYCEE JEAN MOULIN;2014;ST AMAND MONTROND;96;96;95;ORLEANS-TOURS
LYCEE GRANDMONT;2014;TOURS;84;93;94;ORLEANS-TOURS
LYCEE CLAUDE DE FRANCE;2014;ROMORANTIN LANTHENAY;95;96;84;ORLEANS-TOURS
LYCEE BERNARD PALISSY;2014;GIEN;96;93;84;ORLEANS-TOURS
LYCEE BENJAMIN FRANKLIN (GENERAL ET TECHNO.);2014;ORLEANS;76;92;87;ORLEANS-TOURS
LYCEE LOUIS LE GRAND;2014;PARIS 05;100;;100;PARIS
LYCEE EDGAR POE;2014;PARIS 10;100;100;100;PARIS
LYCEE NOTRE-DAME -ST VINCENT DE PAUL (GENERAL ET TECHNO.);2014;PARIS 13;89;;100;PARIS
LYCEE NOTRE-DAME DE FRANCE;2014;PARIS 13;100;100;100;PARIS
LYCEE LA TOUR;2014;PARIS 16;100;100;100;PARIS
LYCEE EDOUARD HERRIOT;2014;LA CHAPELLE ST LUC;98;87;96;REIMS
LYCEE CAMILLE CLAUDEL;2014;TROYES;96;90;90;REIMS
LYCEE GEORGES CLEMENCEAU;2014;REIMS;90;81;88;REIMS
LYCEE CHAPTAL;2014;ST BRIEUC;;;100;RENNES
LYCEE JEANNE D'ARC;2014;RENNES;;;;RENNES
LYCEE JACQUES CARTIER (GENERAL ET TECHNO.);2014;ST MALO;90;92;93;RENNES
LYCEE NATIVITE (LA);2012;AIX EN PROVENCE CEDEX;100;100;99;AIX-MARSEILLE
LYCEE GIOCANTE DE CASABIANCA;2017;BASTIA;98;96;94;CORSE
LYCEE RENE CASSIN (GENERAL ET TECHNO.);2017;NOISIEL;;;70;CRETEIL
LYCEE JEAN ZAY;2017;AULNAY SOUS BOIS;93;81;85;CRETEIL
LYCEE EUGENE DELACROIX (GENERAL ET TECHNO.);2017;DRANCY;70;73;80;CRETEIL
LYCEE HENRI MATISSE;2017;MONTREUIL;100;100;100;CRETEIL
LYCEE PAULINE ROLAND (GENERAL ET TECHNO.);2017;CHEVILLY LARUE;;94;84;CRETEIL
LYCEE D'ARSONVAL;2017;ST MAUR DES FOSSES;100;100;93;CRETEIL
LYCEE FRANCOIS MANSART (GENERAL ET TECHNO.);2017;ST MAUR DES FOSSES;;90;87;CRETEIL
LYCEE TEILHARD DE CHARDIN;2017;ST MAUR DES FOSSES;100;100;98;CRETEIL
CLOS MAIRE (GENERAL ET TECHNO.);2017;BEAUNE;94;87;89;DIJON
LYCEE RAOUL FOLLEREAU;2017;NEVERS;94;90;82;DIJON
LYCEE LE CHEYLARD (GENERAL ET TECHNO.);2017;LE CHEYLARD;83;83;92;GRENOBLE
LYCEE ALAIN BORNE;2017;MONTELIMAR;86;94;93;GRENOBLE
LYCEE ISER - BORDIER;2017;GRENOBLE;;;;GRENOBLE
LYCEE VAUCANSON (GENERAL ET TECHNO.);2017;GRENOBLE;;;91;GRENOBLE
LYCEE RAOUL GEORGES NICOLO (GENERAL ET TECHNO.);2017;BASSE TERRE;;92;98;GUADELOUPE
LYCEE LEOPOLD ELFORT (GENERAL ET TECHNO.);2017;MANA;92;94;76;GUYANE
LYCEE SARDA GARRIGA;2017;ST ANDRE;100;96;96;LA REUNION
LYCEE SAINT JEAN;2017;DOUAI;100;100;100;LILLE
LYCEE JEAN MOULIN (GENERAL ET TECHNO.);2017;ROUBAIX;;52;47;LILLE
LYCEE AUGUSTE BEHAL;2017;LENS;64;59;62;LILLE
LYCEE FRANCOIS RABELAIS (GENERAL ET TECHNO.);2017;DARDILLY;;;;LYON
LYCEE ACAJOU 1;2017;LE LAMENTIN;83;69;42;MARTINIQUE
LYCEE JOSEPH PERNOCK (GENERAL ET TECHNO.);2017;LE LORRAIN;;;89;MARTINIQUE
LYCEE ALFRED MEZIERES (GENERAL ET TECHNO.);2017;LONGWY;95;84;85;NANCY-METZ
LYCEE JEAN HANZELET (GENERAL ET TECHNO.);2017;PONT A MOUSSON;;;96;NANCY-METZ
LYCEE SAINT LOUIS;2017;BAR LE DUC;100;87;95;NANCY-METZ
LYCEE SAINT VINCENT DE PAUL;2017;ALGRANGE;;;;NANCY-METZ
LYCEE GUSTAVE EIFFEL (GENERAL ET TECHNO.);2017;TALANGE;;;65;NANCY-METZ
LYCEE NOTRE DAME DE LA PROVIDENCE;2017;THIONVILLE;100;100;100;NANCY-METZ
LYCEE BEAU JARDIN;2017;ST DIE DES VOSGES;100;100;94;NANCY-METZ
EXTERNAT DES ENFANTS NANTAIS;2017;NANTES;100;100;100;NANTES
LYCEE NOTRE DAME (GENERAL ET TECHNO.);2017;REZE;100;97;99;NANTES
LYCEE DON BOSCO;2017;MAYENNE;100;100;100;NANTES
LYCEE GABRIEL TOUCHARD - WASHINGTON (GENERAL ET TECHNO.);2017;LE MANS;;85;90;NANTES
LYCEE FRANCOIS RABELAIS (GENERAL ET TECHNO.);2017;FONTENAY LE COMTE;84;94;96;NANTES
LYCEE JEHAN DE BEAUCE (GENERAL ET TECHNO.);2017;CHARTRES;91;91;93;ORLEANS-TOURS
LYCEE SAINT GATIEN;2017;JOUE LES TOURS;100;84;92;ORLEANS-TOURS
LYCEE PAUL-LOUIS COURIER;2017;TOURS;94;90;83;ORLEANS-TOURS
LYCEE JACQUES MONOD;2017;ST JEAN DE BRAYE;91;97;98;ORLEANS-TOURS
LYCEE PIERRE-GILLES DE GENNES-ENCPB;2017;PARIS 13;;;91;PARIS
LYCEE FRANCOIS VILLON;2017;PARIS 14;45;81;71;PARIS
LYCEE GERSON;2017;PARIS 16;;100;100;PARIS
LYCEE BERNARD PALISSY;2017;SAINTES;94;98;89;POITIERS
LYCEE SAINT ANDRE (GENERAL ET TECHNO.);2017;NIORT;100;96;97;POITIERS
LYCEE DU HAUT VAL DE SEVRE (GENERAL ET TECHNO.);2017;ST MAIXENT L ECOLE;80;90;92;POITIERS
LYCEE FRANCOIS BAZIN (GENERAL ET TECHNO.);2017;CHARLEVILLE MEZIERES;;69;76;REIMS
LYCEE MABILLON;2017;SEDAN;100;95;96;REIMS
LYCEE BLAISE PASCAL;2017;ST DIZIER;;;90;REIMS
LYCEE JEAN TALON (GENERAL ET TECHNO.);2017;CHALONS EN CHAMPAGNE;;76;77;REIMS
LYCEE JULES LESVEN;2017;BREST;;88;;RENNES
LYCEE JEAN-BAPTISTE LE TAILLANDIER;2017;FOUGERES;100;96;100;RENNES
LYCEE MARCEL CALLO;2017;REDON;;;95;RENNES
LYCEE JOLIOT-CURIE;2017;RENNES;;89;100;RENNES
LYCEE ST MARTIN;2017;RENNES;97;98;99;RENNES
LYCEE ST FRANCOIS-XAVIER;2017;VANNES;94;100;97;RENNES
LYCEE PORTE OCEANE (GENERAL ET TECHNO.);2017;LE HAVRE;65;69;57;ROUEN
LYCEE JEANNE D'ARC (GENERAL ET TECHNO.);2017;STE ADRESSE;;;70;ROUEN
LYCEE SCHURE;2017;BARR;96;98;94;STRASBOURG
INSTITUTION STE PHILOMENE;2017;HAGUENAU;;100;98;STRASBOURG
LYCEE LAMBERT;2017;MULHOUSE;88;95;92;STRASBOURG
LYCEE LE CAOUSOU;2017;TOULOUSE;100;98;100;TOULOUSE
LYCEE MARCELIN BERTHELOT;2017;TOULOUSE;93;83;94;TOULOUSE
LYCEE VICTOR DURUY (GENERAL ET TECHNO.);2017;BAGNERES DE BIGORRE;89;91;96;TOULOUSE
LYCEE GASTON MONNERVILLE (GENERAL ET TECHNO.);2017;CAHORS;;;100;TOULOUSE
LYCEE LEO FERRE (GENERAL ET TECHNO.);2017;GOURDON;90;80;83;TOULOUSE
LYCEE SAINTE MARIE;2017;NEUILLY SUR SEINE;100;100;100;VERSAILLES
LYCEE JULIE-VICTOIRE DAUBIE;2017;ARGENTEUIL;94;88;88;VERSAILLES
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.);2017;EAUBONNE;82;81;91;VERSAILLES
LYCEE JEAN-JACQUES ROUSSEAU;2017;MONTMORENCY;88;86;84;VERSAILLES
LYCEE ST EXUPERY;2017;MANTES LA JOLIE;93;85;81;VERSAILLES
ECOLE INTERNATIONALE PACA;2018;MANOSQUE;100;100;100;AIX-MARSEILLE
LYCEE ST CHARLES CAMAS;2018;MARSEILLE 05;100;96;100;AIX-MARSEILLE
LYCEE DU HAINAUT;2016;VALENCIENNES;;;94;LILLE
LYCEE SAINTE SOPHIE;2016;BOHAIN EN VERMANDOIS;;;;AMIENS
LYCEE GAY LUSSAC;2016;CHAUNY;98;98;91;AMIENS
LYCEE ANDRE MAUROIS;2016;DEAUVILLE;85;86;96;CAEN
LYCEE NOTRE DAME DE NAZARETH;2016;DOUVRES LA DELIVRANDE;;;;CAEN
LYCEE LES ROSIERS;2016;LISIEUX;;;;CAEN
LYCEE FERDINAND BUISSON (GENERAL ET TECHNO.);2016;ELBEUF;;70;94;ROUEN
LYCEE PAUL SERUSIER (GENERAL ET TECHNO.);2016;CARHAIX PLOUGUER;100;93;88;RENNES
LYCEE RENE LAENNEC;2016;PONT L ABBE;95;86;91;RENNES
LYCEE ST ETIENNE (GENERAL ET TECHNO.);2016;CESSON SEVIGNE;;;100;RENNES
LYCEE JOLIOT-CURIE;2016;RENNES;;;98;RENNES
LYCEE ST JOSEPH;2016;ANCENIS;100;100;99;NANTES
LYCEE NOTRE DAME (GENERAL ET TECHNO.);2016;REZE;96;98;99;NANTES
LYCEE ST MICHEL;2016;CHATEAU GONTIER;83;100;97;NANTES
LYCEE NOTRE DAME;2016;FONTENAY LE COMTE;100;100;100;NANTES
LYCEE DU MIRAIL;2016;BORDEAUX;82;77;65;BORDEAUX
LYCEE GUSTAVE EIFFEL (GENERAL ET TECHNO.);2016;BORDEAUX;;;93;BORDEAUX
LYCEE MICHEL MONTAIGNE;2016;BORDEAUX;90;96;96;BORDEAUX
LYCEE LA SAUQUE;2016;LA BREDE;100;100;100;BORDEAUX
LYCEE GEORGE SAND;2016;NERAC;94;96;94;BORDEAUX
LYCEE ST FRANCOIS;2016;MAULEON SOULE;;100;80;BORDEAUX
LYCEE ST JOSEPH;2016;NAY;100;100;100;BORDEAUX
LYCEE LPO KYOTO (GENERAL ET TECHNO.);2016;POITIERS;;;;POITIERS
LYCEE CHRISTIAN BOURQUIN (GENERAL ET TECHNO.);2016;ARGELES SUR MER;;;;MONTPELLIER
LYCEE GABRIEL FAURE;2016;FOIX;90;75;94;TOULOUSE
LYCEE OZENNE;2016;TOULOUSE;96;94;97;TOULOUSE
LYCEE D'ARTAGNAN (GENERAL ET TECHNO.);2016;NOGARO;83;96;94;TOULOUSE
LYCEE LOUIS VICAT (GENERAL ET TECHNO.);2016;SOUILLAC;;76;81;TOULOUSE
LYCEE RENE BILLERES;2016;ARGELES GAZOST;100;95;89;TOULOUSE
LYCEE BLAISE PASCAL;2016;CLERMONT FERRAND;98;97;97;CLERMONT-FERRAND
LYCEE JEAN ROSTAND;2012;CAEN CEDEX;75;88;92;CAEN
LYCEE ST JACQUES DE COMPOSTELLE;2012;DAX;100;89;100;BORDEAUX
LYCEE PIERRE POIVRE;2016;ST JOSEPH;91;95;93;LA REUNION
LYCEE HOTELIER LA RENAISSANCE;2016;ST PAUL;;;;LA REUNION
LYCEE BELLEVUE;2016;FORT DE FRANCE;96;96;95;MARTINIQUE
LYCEE SONNY RUPAIRE;2016;STE ROSE;100;94;95;GUADELOUPE
LYCEE PIERRE-GILLES DE GENNES;2017;DIGNE LES BAINS;;;98;AIX-MARSEILLE
LYCEE LES ISCLES (GENERAL ET TECHNO.);2017;MANOSQUE;;;95;AIX-MARSEILLE
LYCEE STE MARIE;2017;AIX EN PROVENCE;;;;AIX-MARSEILLE
LYCEE P. S. DE LAPLACE;2012;CAEN CEDEX;;;100;CAEN
LYCEE LA SAUQUE;2012;LA BREDE;100;100;100;BORDEAUX
LYCEE MONNET-MERMOZ;2012;AURILLAC CEDEX;;89;88;CLERMONT-FERRAND
LYCEE JEAN MONNET (GENERAL ET TECHNO.);2017;VITROLLES;88;100;96;AIX-MARSEILLE
LYCEE CEVENOL;2012;LE CHAMBON SUR LIGNON;29;86;63;CLERMONT-FERRAND
LYCEE SIDOINE APOLLINAIRE;2012;CLERMONT FERRAND CEDEX;;;;CLERMONT-FERRAND
INSTITUTION SAINT-PAUL;2012;AJACCIO CEDEX;85;92;100;CORSE
LYCEE LA PROVIDENCE;2017;AMIENS;73;95;96;AMIENS
LYCEE CAMILLE JULLIAN;2017;BORDEAUX;94;94;91;BORDEAUX
LYCEE SAINT VINCENT;2012;SENLIS CEDEX;100;97;98;AMIENS
LYCEE JEAN ROSTAND;2017;CAEN;76;76;88;CAEN
LYCEE HUGUES CAPET;2012;SENLIS CEDEX;77;86;93;AMIENS
LYCEE HONORE ROMANE;2012;EMBRUN CEDEX;100;100;77;AIX-MARSEILLE
LYCEE HENRI LEROY;2012;PORT ST LOUIS DU RHONE;;;;AIX-MARSEILLE
LYCEE EDGAR FAURE;2012;MORTEAU CEDEX;93;86;94;BESANCON
LYCEE LOUIS THUILLIER;2018;AMIENS;98;84;93;AMIENS
LYCEE VICTOR HUGO;2018;BESANCON;91;95;96;BESANCON
LYCEE PIERRE-ADRIEN PARIS;2012;BESANCON;;;;BESANCON
LYCEE CONDORCET;2018;BELFORT;92;97;93;BESANCON
LYCEE ARNAUD DANIEL;2012;RIBERAC;100;96;80;BORDEAUX
LYCEE VICTOR BERARD;2012;MOREZ CEDEX;;;97;BESANCON
LYCEE EXPERIMENTAL A.MALRAUX;2018;BIARRITZ;88;97;95;BORDEAUX
LYCEE JEAN ROSTAND;2018;CAEN;96;82;93;CAEN
LYCEE OZENNE;2012;TOULOUSE CEDEX;100;99;99;TOULOUSE
LYCEE JULLIOT DE LA MORANDIERE (GENERAL ET TECHNO.);2018;GRANVILLE;82;81;93;CAEN
LYCEE CHARLES ET ADRIEN DUPUY (GENERAL ET TECHNO.);2018;LE PUY EN VELAY;91;94;95;CLERMONT-FERRAND
LYCEE JACQUES PREVERT;2012;BOULOGNE BILLANCOURT;89;76;88;VERSAILLES
LYCEE GEORGES CLEMENCEAU SARTENE (GENERAL ET TECHNO.);2018;SARTENE;94;100;100;CORSE
LYCEE JOLIOT-CURIE;2012;NANTERRE CEDEX;58;51;75;VERSAILLES
LYCEE MADELEINE DANIELOU;2012;RUEIL MALMAISON;100;100;100;VERSAILLES
LYCEE GEORGE SAND (GENERAL ET TECHNO.);2012;DOMONT CEDEX;89;77;83;VERSAILLES
LYCEE SAINT MARTIN DE FRANCE;2012;PONTOISE;100;94;93;VERSAILLES
LYCEE VAUBAN;2012;PONTOISE;100;100;;VERSAILLES
LYCEE JULES FERRY;2012;CONFLANS STE HONORINE;89;86;88;VERSAILLES
LYCEE CONDORCET (GENERAL ET TECHNO.);2012;LIMAY;83;76;87;VERSAILLES
LYCEE FERNAND ET NADIA LEGER (GENERAL ET TECHNO.);2015;ARGENTEUIL;;;;VERSAILLES
LYCEE CHARLES DE GAULLE;2012;POISSY CEDEX;;96;100;VERSAILLES
LYCEE EMILIE DE BRETEUIL (GENERAL ET TECHNO.);2012;ST QUENTIN EN YVELIN CED;100;95;97;VERSAILLES
LYCEE JEAN-JACQUES ROUSSEAU;2015;MONTMORENCY;81;84;86;VERSAILLES
LYCEE DE LA TOURELLE (GENERAL ET TECHNO.);2015;SARCELLES;;83;74;VERSAILLES
LYCEE PAUL ARENE (GENERAL ET TECHNO.);2016;SISTERON;79;86;93;AIX-MARSEILLE
LYCEE ST ELOI;2016;AIX EN PROVENCE;;;100;AIX-MARSEILLE
LYCEE HONORE DAUMIER;2016;MARSEILLE 08;88;93;88;AIX-MARSEILLE
LYCEE ADAM DE CRAPONNE;2013;SALON DE PROVENCE;100;96;89;AIX-MARSEILLE
LYCEE VIALA LACOSTE;2016;SALON DE PROVENCE;100;100;100;AIX-MARSEILLE
LYCEE LOUIS ARAGON (GENERAL ET TECHNO.);2013;HERICOURT;95;83;100;BESANCON
LYCEE CAUCADIS;2016;VITROLLES;;;;AIX-MARSEILLE
LYCEE PHILIPPE DE GIRARD;2016;AVIGNON;89;83;84;AIX-MARSEILLE
LYCEE JEAN PAUL DE ROCCA SERRA (GENERAL ET TECHNO.);2016;PORTO VECCHIO;100;100;94;CORSE
LYCEE GEORGES CLEMENCEAU SARTENE (GENERAL ET TECHNO.);2016;SARTENE;100;91;100;CORSE
LYCEE FERNAND DAGUIN;2013;MERIGNAC;88;93;93;BORDEAUX
CLEPT - LYCEE MOUNIER;2016;GRENOBLE;86;86;67;GRENOBLE
LYCEE CHAMPOLLION;2016;GRENOBLE;100;97;97;GRENOBLE
LYCEE ROBIN;2016;VIENNE;100;95;95;GRENOBLE
LYCEE SAINTE CROIX DES NEIGES;2016;ABONDANCE;50;75;80;GRENOBLE
LYCEE INTERNATIONAL;2016;FERNEY VOLTAIRE;94;94;97;LYON
LYCEE SAINT JUST;2016;LYON 05;99;95;97;LYON
LYCEE PAUL ROBERT (GENERAL ET TECHNO.);2013;LES LILAS;91;89;90;CRETEIL
LYCEE DESIRE NISARD (GENERAL ET TECHNO.);2016;CHATILLON SUR SEINE;100;100;91;DIJON
LYCEE EMILAND GAUTHEY (GENERAL ET TECHNO.);2016;CHALON SUR SAONE;;96;87;DIJON
LYCEE RENE CASSIN (GENERAL ET TECHNO.);2016;MACON;87;93;93;DIJON
LYCEE SAINT LAZARE (GENERAL ET TECHNO.);2013;AUTUN;;;;DIJON
LYCEE ASTIER (GENERAL ET TECHNO.);2013;AUBENAS;;;79;GRENOBLE
LYCEE MONTPLAISIR;2013;VALENCE;;;;GRENOBLE
LYCEE SAINT PAUL;2012;ROANNE;100;88;100;LYON
LYCEE FRANCOIS 1ER (GENERAL ET TECHNO.);2016;VITRY LE FRANCOIS;95;93;97;REIMS
LYCEE DIDEROT (GENERAL ET TECHNO.);2016;LANGRES;94;100;96;REIMS
LYCEE LOUIS BERTRAND;2016;BRIEY;100;100;97;NANCY-METZ
LYCEE ERNEST BICHAT;2016;LUNEVILLE;98;86;90;NANCY-METZ
LYCEE ROSA LUXEMBURG (GENERAL ET TECHNO.);2012;CANET EN ROUSSILLON CEDE;73;88;93;MONTPELLIER
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.);2016;FORBACH;;75;;NANCY-METZ
LYCEE CLAUDE GELLEE;2016;EPINAL;96;95;94;NANCY-METZ
LYCEE JEANNE D'ARC;2016;REMIREMONT;93;93;100;NANCY-METZ
LYCEE MARC BLOCH;2016;BISCHHEIM;92;82;91;STRASBOURG
LYCEE FUSTEL DE COULANGES;2016;STRASBOURG;96;98;93;STRASBOURG
INSTITUT NICOLAS BARRE;2016;ARMENTIERES;;;100;LILLE
LYCEE LA PERVERIE SACRE COEUR;2012;NANTES CEDEX;96;100;99;NANTES
LYCEE PAYS DE RETZ;2012;PORNIC CEDEX;90;94;96;NANTES
LYCEE EMMANUEL MOUNIER;2012;ANGERS;67;96;100;NANTES
LYCEE STE AGNES;2012;ANGERS;86;91;83;NANTES
LYCEE SAINTE MARIE;2012;CHOLET;91;91;98;NANTES
LYCEE D'ESTOURNELLES DE CONSTANT (GENERAL ET TECHNO.);2012;LA FLECHE CEDEX;89;93;98;NANTES
LYCEE STE ANNE (GENERAL ET TECHNO.);2012;SABLE SUR SARTHE CEDEX;67;93;89;NANTES
LYCEE CARCADO SAISSEVAL;2016;PARIS 06;;;;PARIS
LYCEE MONTAIGNE;2016;PARIS 06;94;98;94;PARIS
LYCEE JULES SIEGFRIED;2016;PARIS 10;;;;PARIS
LYCEE LUCAS DE NEHOU (GENERAL ET TECHNO.);2016;PARIS 14;;;;PARIS
LYCEE MAURICE RONDEAU;2016;BUSSY ST GEORGES;;100;100;CRETEIL
LYCEE SAINT-SULPICE;2012;PARIS 06;96;97;84;PARIS
LYCEE JACQUES BREL;2016;LA COURNEUVE;73;72;87;CRETEIL
LYCEE ANDRE BOULLOCHE;2016;LIVRY GARGAN;94;97;95;CRETEIL
LYCEE JOHANNES GUTENBERG (GENERAL ET TECHNO.);2016;CRETEIL;75;73;84;CRETEIL
LYCEE CONDORCET (GENERAL ET TECHNO.);2016;LA VARENNE ST HILAIRE CEDE;97;98;94;CRETEIL
LYCEE JEAN VILAR;2016;PLAISIR;100;95;97;VERSAILLES
LYCEE EMILIE DE BRETEUIL (GENERAL ET TECHNO.);2016;ST QUENTIN EN YVELINES CED;96;90;96;VERSAILLES
LYCEE FRANCOIS BAZIN;2012;CHARLEVILLE MEZIERES CED;;;87;REIMS
LYCEE NOTRE DAME DU GRANDCHAMP;2016;VERSAILLES;100;100;100;VERSAILLES
LYCEE BLAISE PASCAL;2012;ST DIZIER;;;94;REIMS
LYCEE NOTRE-DAME ST VICTOR;2012;EPERNAY;100;100;79;REIMS
LYCEE ALFRED KASTLER (GENERAL ET TECHNO.);2016;DOURDAN;;;86;VERSAILLES
LYCEE CHARLES DE GAULLE;2012;VANNES CEDEX;93;92;97;RENNES
LYCEE ARISTIDE BRIAND;2012;EVREUX CEDEX;81;87;93;ROUEN
INSTITUTION SAINTE CLOTILDE;2012;STRASBOURG CEDEX;;96;61;STRASBOURG
LYCEE JEANNE D'ARC (GENERAL ET TECHNO.);2013;FIGEAC;100;100;100;TOULOUSE
LYCEE PAUL LANGEVIN;2016;SURESNES;85;89;88;VERSAILLES
LYCEE CLEMENT ADER (GENERAL ET TECHNO.);2013;ATHIS MONS;;;83;VERSAILLES
LYCEE GEOFFROY-SAINT-HILAIRE (GENERAL ET TECHNO.);2013;ETAMPES;95;89;89;VERSAILLES
LYCEE AUGUSTE RENOIR;2013;ASNIERES SUR SEINE;94;82;82;VERSAILLES
LYCEE CHEVREUL BLANCARDE;2012;MARSEILLE CEDEX 04;100;97;100;AIX-MARSEILLE
LYCEE ST JOSEPH LES MARISTES;2012;MARSEILLE 06;95;100;96;AIX-MARSEILLE
LYCEE EUGENE IONESCO (GENERAL ET TECHNO.);2013;ISSY LES MOULINEAUX;86;97;94;VERSAILLES
LYCEE VAN GOGH;2013;ERMONT;93;92;92;VERSAILLES
LYCEE JEAN MOULIN (GENERAL ET TECHNO.);2018;BEZIERS;97;83;86;MONTPELLIER
LYCEE ARISTIDE MAILLOL (GENERAL ET TECHNO.);2018;PERPIGNAN;91;88;87;MONTPELLIER
COURS BASTIDE;2014;MARSEILLE 06;100;100;96;AIX-MARSEILLE
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.);2018;FORBACH;;86;;NANCY-METZ
LYCEE SAINT JOSEPH-LA PROVIDENCE;2018;FORBACH;100;88;96;NANCY-METZ
LYCEE ST JOSEPH;2018;CHATEAUBRIANT;100;98;100;NANTES
LYCEE AIME CESAIRE (GENERAL ET TECHNO.);2018;CLISSON;96;94;92;NANTES
LYCEE LA COLINIERE;2018;NANTES;93;86;91;NANTES
LYCEE JEANNE DELANOUE;2018;CHOLET;;;;NANTES
LYCEE JULES UHRY;2014;CREIL;77;67;58;AMIENS
LYCEE RENE GOSCINNY;2018;DRAP;86;90;78;NICE
LYCEE HUGUES CAPET;2014;SENLIS;93;91;95;AMIENS
LYCEE JEAN RACINE;2014;MONTDIDIER;100;81;86;AMIENS
LYCEE SACRE COEUR;2014;PERONNE;100;100;81;AMIENS
LYCEE XAVIER MARMIER (GENERAL ET TECHNO.);2014;PONTARLIER;91;98;93;BESANCON
LYCEE ARMAND PEUGEOT;2014;VALENTIGNEY;100;95;93;BESANCON
LYCEE CHARLES DESPIAU;2014;MONT DE MARSAN;92;99;98;BORDEAUX
LYCEE BOULLE ESAA (GENERAL ET TECHNO.);2018;PARIS 12;;;;PARIS
